Référence;Désignation;Quantité;Prix d'achat HT unitaire
633507;Cartouche CO2 Swiss Arms 12 g (C600);12000;0,03
603677-MI;Bouteille dépoussiérant;174;0,34
403002-MI;Réplique sangle ISTC FAMAS;16;1,01
203011-MI;Notice utilisateur entraînement (FR);14;0,07
185180-MI;Chargeur CO2 Colt M4 40 bbs 12 g;45;2,36
340504-MI;Glock 19 CO2 CNC culasse bleue;2;11,44
633514-MI;Grenade d'entraînement « Scaremongers »;251;1,35
340502-MI;Glock 19 noir CO2 CNC culasse mobile;177;11,44
203017-MI;Notice d'entretien MINIMI ADT;150;0,07
203018-MI;Housse de transport MINIMI;36;5,38
120951;Kalashnikov AKMS élec tout métal;26;16,82
603693-MI;Attache ceinture plastique;70;0,34
603372-MI;Batterie 8,4 V 1600 mAh mini (Deans);74;0,67
633512-MI;Grenade d'entraînement « Dominators »;70;1,35
285081-MI;Chargeur CO2 P226;15;2,02
605027;Chargeur G36;11;1,35
285078-MI;Chargeur SP2022;202;1,68
203010-MI;Sangle verte MINIMI M249;123;0,74
280550-MI;P226 CO2 Full Metal;14;11,44
697020;Spartan Imports mallette rigide 620S;19;6,06
603300-MI;Notice entretien PAMAS (FR);35;1,41
F6621;HK416;1;16,82
603471-MI;Poignée trolley mallette Spartan;1;1,35
200993-MI;FN MINIMI ADT noir AEG;1;30,28
KIT340516;Kit 5 Glock 17;1;37,01
603412;Kit de cibles de tir mobile;1;53,84
603468-MI;Mallette pour 5 Glock;6;6,73
603469-MI;Mallette Colt;5;6,73
697022;Spartan Imports mallette rigide 620XLS;2;7,40
180841;Colt M4A1 AEG Keymod 1,15 J;3;13,46
603368;Chargeur batterie LiPo/LiFe/NiMH;49;2,75
290502;PGM 338 TAN bolt gaz full metal (mallette);1;30,28
HOUSSE MOLLE;Housse passant MOLLE arme longue;7;4,04
1605MI0381;SIG 2022 culasse bleue;6;33,65
KW-146;Chargeur Beretta 92 / PAMAS;21;1,68
CHARGEUR MINI;Chargeur MINIMI;15;2,69
